t,Xacceleration
7.4246000E-001,-1.1292658E-005
7.4396000E-001,-1.2239665E-005
7.4546000E-001,-1.3079513E-005
7.4696000E-001,-1.3677086E-005
7.4846000E-001,-1.4274659E-005
7.4996000E-001,-1.4872232E-005
7.5146000E-001,-1.4855822E-005
7.5296000E-001,-1.4822592E-005
7.5446000E-001,-1.4789361E-005
7.5596000E-001,-1.4283968E-005
7.5746000E-001,-1.3512983E-005
7.5896000E-001,-1.2741998E-005
7.6046000E-001,-1.1788013E-005
7.6196000E-001,-1.0420288E-005
7.6346000E-001,-9.0525627E-006
7.6496000E-001,-7.6848374E-006
7.6646000E-001,-6.0899310E-006
7.6796000E-001,-4.4888004E-006
7.6946000E-001,-2.8876699E-006
7.7096000E-001,-1.4303395E-006
7.7246000E-001,-5.3896643E-008
7.7396000E-001,1.3225462E-006
7.7546000E-001,2.5159604E-006
7.7696000E-001,3.2955707E-006
7.7846000E-001,4.0751811E-006
7.7996000E-001,4.8547914E-006
7.8146000E-001,4.9132999E-006
7.8296000E-001,4.9520522E-006
7.8446000E-001,4.9908046E-006
7.8596000E-001,4.6228479E-006
7.8746000E-001,4.0261173E-006
7.8896000E-001,3.4293868E-006
7.9046000E-001,2.7144568E-006
7.9196000E-001,1.7322935E-006
7.9346000E-001,7.5013021E-007
7.9496000E-001,-2.3203311E-007
7.9646000E-001,-1.3513387E-006
7.9796000E-001,-2.4744016E-006
7.9946000E-001,-3.5974645E-006
8.0096000E-001,-4.7206010E-006
8.0246000E-001,-5.8437790E-006
8.0396000E-001,-6.9669570E-006
8.0546000E-001,-8.0796608E-006
8.0696000E-001,-9.1686837E-006
8.0846000E-001,-1.0257707E-005
8.0996000E-001,-1.1346729E-005
8.1146000E-001,-1.2400284E-005
8.1296000E-001,-1.3452867E-005
8.1446000E-001,-1.4505450E-005
8.1596000E-001,-1.5486340E-005
8.1746000E-001,-1.6426901E-005
8.1896000E-001,-1.7367463E-005
8.2046000E-001,-1.8202110E-005
8.2196000E-001,-1.8797298E-005
8.2346000E-001,-1.9392486E-005
8.2496000E-001,-1.9987674E-005
8.2646000E-001,-1.9851562E-005
8.2796000E-001,-1.9695415E-005
8.2946000E-001,-1.9539267E-005
8.3096000E-001,-1.8589488E-005
8.3246000E-001,-1.7193292E-005
8.3396000E-001,-1.5797096E-005
8.3546000E-001,-1.3906740E-005
8.3696000E-001,-1.0899156E-005
8.3846000E-001,-7.8915718E-006
8.3996000E-001,-4.8839876E-006
8.4146000E-001,-3.2252903E-007
8.4296000E-001,4.2815015E-006
8.4446000E-001,8.8855320E-006
8.4596000E-001,1.4107581E-005
8.4746000E-001,1.9677266E-005
8.4896000E-001,2.5246951E-005
8.5046000E-001,3.0722028E-005
8.5196000E-001,3.5983210E-005
8.5346000E-001,4.1244392E-005
8.5496000E-001,4.6505574E-005
8.5646000E-001,4.9891435E-005
8.5796000E-001,5.3225917E-005
8.5946000E-001,5.6560399E-005
8.6096000E-001,5.7774568E-005
8.6246000E-001,5.7796061E-005
8.6396000E-001,5.7817553E-005
8.6546000E-001,5.6649575E-005
8.6696000E-001,5.2792359E-005
8.6846000E-001,4.8935143E-005
8.6996000E-001,4.5077926E-005
8.7146000E-001,3.7962071E-005
8.7296000E-001,3.0756937E-005
8.7446000E-001,2.3551804E-005
8.7596000E-001,1.5124738E-005
8.7746000E-001,6.0103347E-006
8.7896000E-001,-3.1040686E-006
8.8046000E-001,-1.2246732E-005
8.8196000E-001,-2.1453287E-005
8.8346000E-001,-3.0659843E-005
8.8496000E-001,-3.9866398E-005
8.8646000E-001,-4.7590935E-005
8.8796000E-001,-5.5274869E-005
8.8946000E-001,-6.2958803E-005
8.9096000E-001,-6.9002182E-005
8.9246000E-001,-7.4122749E-005
8.9396000E-001,-7.9243315E-005
8.9546000E-001,-8.3451445E-005
8.9696000E-001,-8.5596673E-005
8.9846000E-001,-8.7741902E-005
8.9996000E-001,-8.9887130E-005
9.0146000E-001,-8.9161101E-005
9.0296000E-001,-8.8356407E-005
9.0446000E-001,-8.7551714E-005
9.0596000E-001,-8.5004305E-005
9.0746000E-001,-8.1476620E-005
9.0896000E-001,-7.7948935E-005
9.1046000E-001,-7.3693595E-005
9.1196000E-001,-6.7793124E-005
9.1346000E-001,-6.1892652E-005
9.1496000E-001,-5.5992181E-005
9.1646000E-001,-4.8359758E-005
9.1796000E-001,-4.0679884E-005
9.1946000E-001,-3.3000010E-005
9.2096000E-001,-2.4819406E-005
9.2246000E-001,-1.6357142E-005
9.2396000E-001,-7.8948787E-006
9.2546000E-001,3.7838641E-007
9.2696000E-001,8.2243504E-006
9.2846000E-001,1.6070314E-005
9.2996000E-001,2.3916278E-005
9.3146000E-001,2.9643202E-005
9.3296000E-001,3.5312070E-005
9.3446000E-001,4.0980938E-005
9.3596000E-001,4.4416269E-005
9.3746000E-001,4.6595236E-005
9.3896000E-001,4.8774203E-005
9.4046000E-001,4.9695498E-005
9.4196000E-001,4.7773362E-005
9.4346000E-001,4.5851225E-005
9.4496000E-001,4.3929089E-005
9.4646000E-001,3.8428774E-005
9.4796000E-001,3.2830426E-005
9.4946000E-001,2.7232078E-005
9.5096000E-001,2.0228734E-005
9.5246000E-001,1.2435078E-005
9.5396000E-001,4.6414226E-006
9.5546000E-001,-3.1714179E-006
9.5696000E-001,-1.1027633E-005
9.5846000E-001,-1.8883849E-005
9.5996000E-001,-2.6740064E-005
9.6146000E-001,-3.2619861E-005
9.6296000E-001,-3.8445509E-005
9.6446000E-001,-4.4271158E-005
9.6596000E-001,-4.7889852E-005
9.6746000E-001,-5.0267135E-005
9.6896000E-001,-5.2644418E-005
9.7046000E-001,-5.3827860E-005
9.7196000E-001,-5.2312180E-005
9.7346000E-001,-5.0796501E-005
9.7496000E-001,-4.9280821E-005
9.7646000E-001,-4.4441289E-005
9.7796000E-001,-3.9510692E-005
9.7946000E-001,-3.4580096E-005
9.8096000E-001,-2.8226988E-005
9.8246000E-001,-2.1073718E-005
9.8396000E-001,-1.3920448E-005
9.8546000E-001,-6.6045532E-006
9.8696000E-001,1.0790141E-006
9.8846000E-001,8.7625815E-006
9.8996000E-001,1.6446149E-005
9.9146000E-001,2.2752077E-005
9.9296000E-001,2.9020262E-005
9.9446000E-001,3.5288447E-005
9.9596000E-001,3.9505496E-005
9.9746000E-001,4.2568780E-005
9.9896000E-001,4.5632065E-005
1.0004600E+000,4.7394927E-005
1.0019600E+000,4.6217706E-005
1.0034600E+000,4.5040484E-005
1.0049600E+000,4.3863263E-005
1.0064600E+000,3.8827227E-005
1.0079600E+000,3.3685470E-005
1.0094600E+000,2.8543713E-005
1.0109600E+000,2.1954201E-005
1.0124600E+000,1.4550325E-005
1.0139600E+000,7.1464491E-006
1.0154600E+000,-1.7102860E-007
1.0169600E+000,-7.2931718E-006
1.0184600E+000,-1.4415315E-005
1.0199600E+000,-2.1537458E-005
1.0214600E+000,-2.6153799E-005
1.0229600E+000,-3.0701489E-005
1.0244600E+000,-3.5249178E-005
