sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
117,22.99041,40.57486,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
118,22.99279,40.57486,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
119,22.99517,40.57486,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
120,22.99755,40.57486,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
121,22.99992,40.57486,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
122,23.00230,40.57486,0.00000,CENOZOIC,2,5.42143E-02,4.97280E+02,-1.50000E+02,0
123,22.93337,40.57709,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
124,22.93574,40.57709,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
125,22.93812,40.57709,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
126,22.94050,40.57709,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
127,22.94287,40.57709,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
128,22.94525,40.57709,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
129,22.94763,40.57709,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
130,22.95000,40.57709,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
131,22.95238,40.57709,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
132,22.95476,40.57709,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
133,22.95714,40.57709,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
134,22.95951,40.57709,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
135,22.96189,40.57709,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
136,22.96427,40.57709,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
137,22.96664,40.57709,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
138,22.96902,40.57709,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
139,22.97140,40.57709,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
