sids,lon,lat,depth,vs30,vs30measured
263,22.98804,40.57709,0.00000,3.48845E+02,0
264,22.99041,40.57709,0.00000,3.48845E+02,0
265,22.99279,40.57709,0.00000,3.48845E+02,0
266,22.99517,40.57709,0.00000,3.48845E+02,0
267,22.99755,40.57709,0.00000,3.48845E+02,0
268,22.99992,40.57709,0.00000,3.48845E+02,0
269,23.00230,40.57709,0.00000,3.48845E+02,0
270,22.89771,40.57932,0.00000,3.48845E+02,0
271,22.90009,40.57932,0.00000,3.48845E+02,0
272,22.90246,40.57932,0.00000,3.48845E+02,0
273,22.90484,40.57932,0.00000,3.48845E+02,0
274,22.90722,40.57932,0.00000,3.48845E+02,0
275,22.90960,40.57932,0.00000,3.48845E+02,0
276,22.91197,40.57932,0.00000,3.48845E+02,0
277,22.91435,40.57932,0.00000,3.48845E+02,0
278,22.91673,40.57932,0.00000,3.48845E+02,0
279,22.91910,40.57932,0.00000,3.48845E+02,0
280,22.92148,40.57932,0.00000,3.48845E+02,0
281,22.92386,40.57932,0.00000,3.48845E+02,0
282,22.92623,40.57932,0.00000,3.48845E+02,0
283,22.92861,40.57932,0.00000,3.48845E+02,0
284,22.93099,40.57932,0.00000,3.48845E+02,0
285,22.93337,40.57932,0.00000,3.48845E+02,0
286,22.93574,40.57932,0.00000,3.48845E+02,0
287,22.93812,40.57932,0.00000,3.48845E+02,0
288,22.94050,40.57932,0.00000,3.48845E+02,0
289,22.94287,40.57932,0.00000,3.48845E+02,0
290,22.94525,40.57932,0.00000,3.48845E+02,0
291,22.94763,40.57932,0.00000,3.48845E+02,0
292,22.95000,40.57932,0.00000,3.48845E+02,0
293,22.95238,40.57932,0.00000,3.48845E+02,0
294,22.95476,40.57932,0.00000,3.48845E+02,0
295,22.95714,40.57932,0.00000,3.48845E+02,0
296,22.95951,40.57932,0.00000,3.48845E+02,0
297,22.96189,40.57932,0.00000,3.48845E+02,0
298,22.96427,40.57932,0.00000,3.48845E+02,0
299,22.96664,40.57932,0.00000,3.48845E+02,0
300,22.96902,40.57932,0.00000,3.48845E+02,0
301,22.97140,40.57932,0.00000,3.48845E+02,0
302,22.97378,40.57932,0.00000,3.48845E+02,0
303,22.97615,40.57932,0.00000,3.48845E+02,0
304,22.97853,40.57932,0.00000,3.48845E+02,0
305,22.98091,40.57932,0.00000,3.48845E+02,0
306,22.98328,40.57932,0.00000,3.48845E+02,0
307,22.98566,40.57932,0.00000,3.48845E+02,0
308,22.98804,40.57932,0.00000,3.48845E+02,0
309,22.99041,40.57932,0.00000,3.48845E+02,0
310,22.99279,40.57932,0.00000,3.48845E+02,0
311,22.99517,40.57932,0.00000,3.48845E+02,0
312,22.99755,40.57932,0.00000,3.48845E+02,0
313,22.99992,40.57932,0.00000,3.48845E+02,0
314,23.00230,40.57932,0.00000,3.48845E+02,0
315,22.89771,40.58155,0.00000,3.48845E+02,0
316,22.90009,40.58155,0.00000,3.48845E+02,0
317,22.90246,40.58155,0.00000,3.48845E+02,0
318,22.90484,40.58155,0.00000,3.48845E+02,0
319,22.90722,40.58155,0.00000,3.48845E+02,0
320,22.90960,40.58155,0.00000,3.48845E+02,0
321,22.91197,40.58155,0.00000,3.48845E+02,0
322,22.91435,40.58155,0.00000,3.48845E+02,0
323,22.91673,40.58155,0.00000,3.48845E+02,0
324,22.91910,40.58155,0.00000,3.48845E+02,0
325,22.92148,40.58155,0.00000,3.48845E+02,0
326,22.92386,40.58155,0.00000,3.48845E+02,0
327,22.92623,40.58155,0.00000,3.48845E+02,0
328,22.92861,40.58155,0.00000,3.48845E+02,0
329,22.93099,40.58155,0.00000,3.48845E+02,0
330,22.93337,40.58155,0.00000,3.48845E+02,0
331,22.93574,40.58155,0.00000,3.48845E+02,0
332,22.93812,40.58155,0.00000,3.48845E+02,0
333,22.94050,40.58155,0.00000,3.48845E+02,0
334,22.94287,40.58155,0.00000,3.48845E+02,0
335,22.94525,40.58155,0.00000,3.48845E+02,0
336,22.94763,40.58155,0.00000,3.48845E+02,0
337,22.95000,40.58155,0.00000,3.48845E+02,0
338,22.95238,40.58155,0.00000,3.48844E+02,0
339,22.95476,40.58155,0.00000,3.48840E+02,0
340,22.95714,40.58155,0.00000,3.48842E+02,0
341,22.95951,40.58155,0.00000,3.48845E+02,0
342,22.96189,40.58155,0.00000,3.48844E+02,0
343,22.96427,40.58155,0.00000,3.48843E+02,0
344,22.96664,40.58155,0.00000,3.48845E+02,0
345,22.96902,40.58155,0.00000,3.48846E+02,0
346,22.97140,40.58155,0.00000,3.48849E+02,0
347,22.97378,40.58155,0.00000,3.48847E+02,0
348,22.97615,40.58155,0.00000,3.48845E+02,0
349,22.97853,40.58155,0.00000,3.48845E+02,0
350,22.98091,40.58155,0.00000,3.48845E+02,0
351,22.98328,40.58155,0.00000,3.48845E+02,0
352,22.98566,40.58155,0.00000,3.48845E+02,0
353,22.98804,40.58155,0.00000,3.48845E+02,0
354,22.99041,40.58155,0.00000,3.48845E+02,0
355,22.99279,40.58155,0.00000,3.48845E+02,0
356,22.99517,40.58155,0.00000,3.48845E+02,0
357,22.99755,40.58155,0.00000,3.48845E+02,0
358,22.99992,40.58155,0.00000,3.48845E+02,0
359,23.00230,40.58155,0.00000,3.48845E+02,0
360,22.89771,40.58378,0.00000,3.48845E+02,0
361,22.90009,40.58378,0.00000,3.48845E+02,0
362,22.90246,40.58378,0.00000,3.48845E+02,0
363,22.90484,40.58378,0.00000,3.48845E+02,0
364,22.90722,40.58378,0.00000,3.48845E+02,0
365,22.90960,40.58378,0.00000,3.48845E+02,0
366,22.91197,40.58378,0.00000,3.48845E+02,0
367,22.91435,40.58378,0.00000,3.48845E+02,0
368,22.91673,40.58378,0.00000,3.48845E+02,0
369,22.91910,40.58378,0.00000,3.48845E+02,0
370,22.92148,40.58378,0.00000,3.48845E+02,0
371,22.92386,40.58378,0.00000,3.48845E+02,0
372,22.92623,40.58378,0.00000,3.48845E+02,0
373,22.92861,40.58378,0.00000,3.48845E+02,0
374,22.93099,40.58378,0.00000,3.48845E+02,0
375,22.93337,40.58378,0.00000,3.48845E+02,0
376,22.93574,40.58378,0.00000,3.48845E+02,0
377,22.93812,40.58378,0.00000,3.48845E+02,0
378,22.94050,40.58378,0.00000,3.48845E+02,0
379,22.94287,40.58378,0.00000,3.48845E+02,0
380,22.94525,40.58378,0.00000,3.48845E+02,0
381,22.94763,40.58378,0.00000,3.48845E+02,0
382,22.95000,40.58378,0.00000,3.48837E+02,0
383,22.95238,40.58378,0.00000,3.48461E+02,0
384,22.95476,40.58378,0.00000,3.46955E+02,0
385,22.95714,40.58378,0.00000,3.47846E+02,0
386,22.95951,40.58378,0.00000,3.48747E+02,0
387,22.96189,40.58378,0.00000,3.48206E+02,0
388,22.96427,40.58378,0.00000,3.47783E+02,0
389,22.96664,40.58378,0.00000,3.48662E+02,0
390,22.96902,40.58378,0.00000,3.49160E+02,0
391,22.97140,40.58378,0.00000,3.50507E+02,0
392,22.97378,40.58378,0.00000,3.49778E+02,0
393,22.97615,40.58378,0.00000,3.48901E+02,0
394,22.97853,40.58378,0.00000,3.48846E+02,0
395,22.98091,40.58378,0.00000,3.48845E+02,0
396,22.98328,40.58378,0.00000,3.48845E+02,0
397,22.98566,40.58378,0.00000,3.48845E+02,0
398,22.98804,40.58378,0.00000,3.48845E+02,0
399,22.99041,40.58378,0.00000,3.48845E+02,0
400,22.99279,40.58378,0.00000,3.48845E+02,0
401,22.99517,40.58378,0.00000,3.48845E+02,0
402,22.99755,40.58378,0.00000,3.48845E+02,0
403,22.99992,40.58378,0.00000,3.48845E+02,0
404,23.00230,40.58378,0.00000,3.48845E+02,0
405,22.89771,40.58601,0.00000,3.48845E+02,0
406,22.90009,40.58601,0.00000,3.48845E+02,0
407,22.90246,40.58601,0.00000,3.48845E+02,0
408,22.90484,40.58601,0.00000,3.48845E+02,0
409,22.90722,40.58601,0.00000,3.48845E+02,0
410,22.90960,40.58601,0.00000,3.48845E+02,0
411,22.91197,40.58601,0.00000,3.48845E+02,0
412,22.91435,40.58601,0.00000,3.48845E+02,0
413,22.91673,40.58601,0.00000,3.48845E+02,0
414,22.91910,40.58601,0.00000,3.48845E+02,0
415,22.92148,40.58601,0.00000,3.48845E+02,0
416,22.92386,40.58601,0.00000,3.48845E+02,0
417,22.92623,40.58601,0.00000,3.48845E+02,0
418,22.92861,40.58601,0.00000,3.48845E+02,0
419,22.93099,40.58601,0.00000,3.48845E+02,0
420,22.93337,40.58601,0.00000,3.48845E+02,0
421,22.93574,40.58601,0.00000,3.48845E+02,0
422,22.93812,40.58601,0.00000,3.48845E+02,0
423,22.94050,40.58601,0.00000,3.48845E+02,0
424,22.94287,40.58601,0.00000,3.48845E+02,0
425,22.94525,40.58601,0.00000,3.48845E+02,0
426,22.94763,40.58601,0.00000,3.48845E+02,0
427,22.95000,40.58601,0.00000,3.48739E+02,0
428,22.95238,40.58601,0.00000,3.43986E+02,0
429,22.95476,40.58601,0.00000,3.24926E+02,0
430,22.95714,40.58601,0.00000,3.36116E+02,0
431,22.95951,40.58601,0.00000,3.47324E+02,0
432,22.96189,40.58601,0.00000,3.39958E+02,0
433,22.96427,40.58601,0.00000,3.34198E+02,0
434,22.96664,40.58601,0.00000,3.46305E+02,0
435,22.96902,40.58601,0.00000,3.53535E+02,0
436,22.97140,40.58601,0.00000,3.73726E+02,0
437,22.97378,40.58601,0.00000,3.62870E+02,0
438,22.97615,40.58601,0.00000,3.49891E+02,0
439,22.97853,40.58601,0.00000,3.48916E+02,0
440,22.98091,40.58601,0.00000,3.48847E+02,0
441,22.98328,40.58601,0.00000,3.48845E+02,0
442,22.98566,40.58601,0.00000,3.48845E+02,0
443,22.98804,40.58601,0.00000,3.48845E+02,0
444,22.99041,40.58601,0.00000,3.48845E+02,0
445,22.99279,40.58601,0.00000,3.48845E+02,0
446,22.99517,40.58601,0.00000,3.48845E+02,0
447,22.99755,40.58601,0.00000,3.48845E+02,0
448,22.99992,40.58601,0.00000,3.48845E+02,0
449,23.00230,40.58601,0.00000,3.48845E+02,0
450,22.89771,40.58824,0.00000,3.48845E+02,0
451,22.90009,40.58824,0.00000,3.48845E+02,0
452,22.90246,40.58824,0.00000,3.48845E+02,0
