sids,lon,lat,depth,vs30,vs30measured,region,xvf,slope,geology
130,22.95230,40.63160,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
131,22.95250,40.63150,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
132,22.95270,40.63140,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
133,22.95291,40.63129,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
134,22.95311,40.63119,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
135,22.95331,40.63108,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
136,22.95352,40.63100,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
137,22.95372,40.63092,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
138,22.95393,40.63084,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
139,22.95414,40.63076,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
140,22.95435,40.63069,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
141,22.95456,40.63061,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
142,22.95477,40.63053,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
143,22.95498,40.63046,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
144,22.95518,40.63038,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
145,22.95539,40.63029,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
146,22.95559,40.63019,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
147,22.95580,40.63009,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
148,22.95600,40.62998,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
149,22.95620,40.62987,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
150,22.95640,40.62977,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
151,22.95660,40.62966,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
152,22.95680,40.62955,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
153,22.95700,40.62945,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
154,22.95720,40.62934,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
155,22.95740,40.62924,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
156,22.95761,40.62913,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
