t,Xacceleration
1.1401700E+000,5.9308092E-005
1.1421700E+000,5.2507652E-005
1.1441700E+000,4.3928043E-005
1.1461700E+000,3.4001264E-005
1.1481700E+000,2.3211521E-005
1.1501700E+000,1.2073546E-005
1.1521700E+000,1.1094683E-006
1.1541700E+000,-9.1743602E-006
1.1561700E+000,-1.8309661E-005
1.1581700E+000,-2.5886381E-005
1.1601700E+000,-3.1569630E-005
1.1621700E+000,-3.5112897E-005
1.1641700E+000,-3.6367064E-005
1.1661700E+000,-3.5285232E-005
1.1681700E+000,-3.1923362E-005
1.1701700E+000,-2.6437045E-005
1.1721700E+000,-1.9074559E-005
1.1741700E+000,-1.0167188E-005
1.1761700E+000,-1.1580355E-007
1.1781700E+000,1.0624140E-005
1.1801700E+000,2.1560210E-005
1.1821700E+000,3.2182705E-005
1.1841700E+000,4.1986232E-005
1.1861700E+000,5.0491834E-005
1.1881700E+000,5.7269109E-005
1.1901700E+000,6.1957824E-005
1.1921700E+000,6.4287682E-005
1.1941700E+000,6.4094763E-005
1.1961700E+000,6.1333257E-005
1.1981700E+000,5.6081146E-005
1.2001700E+000,4.8538488E-005
1.2021700E+000,3.9019267E-005
1.2041700E+000,2.7935873E-005
1.2061700E+000,1.5776153E-005
1.2081700E+000,3.0749587E-006
1.2101700E+000,-9.6178633E-006
1.2121700E+000,-2.1770890E-005
1.2141700E+000,-3.2903516E-005
1.2161700E+000,-4.2614838E-005
1.2181700E+000,-5.0606718E-005
1.2201700E+000,-5.6699187E-005
1.2221700E+000,-6.0836941E-005
1.2241700E+000,-6.3086527E-005
1.2261700E+000,-6.3624480E-005
1.2281700E+000,-6.2717322E-005
1.2301700E+000,-6.0695229E-005
1.2321700E+000,-5.7921485E-005
1.2341700E+000,-5.4760190E-005
1.2361700E+000,-5.1544897E-005
1.2381700E+000,-4.8550704E-005
1.2401700E+000,-4.5972101E-005
1.2421700E+000,-4.3908579E-005
1.2441700E+000,-4.2359135E-005
1.2461700E+000,-4.1226165E-005
1.2481700E+000,-4.0328575E-005
1.2501700E+000,-3.9423273E-005
1.2521700E+000,-3.8233108E-005
1.2541700E+000,-3.6478773E-005
1.2561700E+000,-3.3911847E-005
1.2581700E+000,-3.0345862E-005
1.2601700E+000,-2.5682282E-005
1.2621700E+000,-1.9929007E-005
1.2641700E+000,-1.3209191E-005
1.2661700E+000,-5.7590272E-006
1.2681700E+000,2.0854769E-006
1.2701700E+000,9.9122891E-006
1.2721700E+000,1.7266107E-005
1.2741700E+000,2.3686733E-005
1.2761700E+000,2.8749980E-005
1.2781700E+000,3.2107513E-005
1.2801700E+000,3.3522426E-005
1.2821700E+000,3.2896978E-005
1.2841700E+000,3.0289729E-005
1.2861700E+000,2.5919984E-005
1.2881700E+000,2.0158861E-005
1.2901700E+000,1.3507758E-005
1.2921700E+000,6.5652366E-006
1.2941700E+000,-1.5102502E-008
1.2961700E+000,-5.5725420E-006
1.2981700E+000,-9.4889340E-006
1.3001700E+000,-1.1236740E-005
1.3021700E+000,-1.0421369E-005
1.3041700E+000,-6.8146090E-006
1.3061700E+000,-3.7677734E-007
1.3081700E+000,8.7340267E-006
1.3101700E+000,2.0165911E-005
1.3121700E+000,3.3389981E-005
1.3141700E+000,4.7728686E-005
1.3161700E+000,6.2393579E-005
1.3181700E+000,7.6529970E-005
1.3201700E+000,8.9265642E-005
1.3221700E+000,9.9760698E-005
1.3241700E+000,1.0725584E-004
1.3261700E+000,1.1111662E-004
1.3281700E+000,1.1087157E-004
1.3301700E+000,1.0624225E-004
1.3321700E+000,9.7164130E-005
1.3341700E+000,8.3797325E-005
1.3361700E+000,6.6526700E-005
1.3381700E+000,4.5951251E-005
1.3401700E+000,2.2862888E-005
1.3421700E+000,-1.7847251E-006
1.3441700E+000,-2.6916416E-005
1.3461700E+000,-5.1383575E-005
1.3481700E+000,-7.4017511E-005
1.3501700E+000,-9.3686687E-005
1.3521700E+000,-1.0935536E-004
1.3541700E+000,-1.2014032E-004
1.3561700E+000,-1.2536226E-004
1.3581700E+000,-1.2458908E-004
1.3601700E+000,-1.1766878E-004
1.3621700E+000,-1.0474963E-004
1.3641700E+000,-8.6283770E-005
1.3661700E+000,-6.3014367E-005
1.3681700E+000,-3.5948005E-005
1.3701700E+000,-6.3096060E-006
1.3721700E+000,2.4518949E-005
1.3741700E+000,5.5071728E-005
1.3761700E+000,8.3878882E-005
1.3781700E+000,1.0955003E-004
1.3801700E+000,1.3085620E-004
1.3821700E+000,1.4680435E-004
1.3841700E+000,1.5669842E-004
1.3861700E+000,1.6018208E-004
1.3881700E+000,1.5726027E-004
1.3901700E+000,1.4829730E-004
1.3921700E+000,1.3399065E-004
1.3941700E+000,1.1532072E-004
1.3961700E+000,9.3479841E-005
1.3981700E+000,6.9785150E-005
1.4001700E+000,4.5582096E-005
1.4021700E+000,2.2145473E-005
1.4041700E+000,5.8730657E-007
