KP,Er
6543.816,-10.1456720044775
6551.316,-10.290713559152
6558.816,-10.4583475067664
6566.316,-10.6485939473144
6573.816,-10.861452880796
6581.316,-11.0969243072112
6588.816,-11.3550082265599
6596.316,-11.635724738836
6603.816,-11.9352146452454
6611.316,-12.236694451033
6618.816,-12.5381943568143
6626.316,-12.8396741626018
6633.816,-13.1411539683894
6641.316,-13.4426538741707
6648.816,-13.7441336799582
6656.316,-14.0456335857395
6663.816,-14.3471133915271
6671.316,-14.6485931973146
6678.816,-14.9500931030959
6686.316,-15.2511307090217
6693.816,-15.5368119197463
6701.316,-15.7998806375373
6708.816,-16.0403368623947
6716.316,-16.2582006943123
6723.816,-16.4534319333025
6731.316,-16.6260506793592
6738.816,-16.7760569324822
6746.316,-16.9034707926654
6753.816,-17.0082520599212
6761.316,-17.0904208342435
6768.816,-17.1499771156322
6776.316,-17.1869410040809
6783.816,-17.2012722996024
6791.316,-17.1929911021903
6798.816,-17.1620974118446
6806.316,-17.108611328559
6813.816,-17.032492652346
6821.316,-16.9337614831995
6828.816,-16.8124178211194
6836.316,-16.6684817660994
6843.816,-16.5019131181522
6851.316,-16.3127319772713
6858.816,-16.1009383434568
6866.316,-15.8665322167087
6873.816,-15.6095336970207
6881.316,-15.3299025844054
6888.816,-15.0308749778516
6896.316,-14.7293549720766
6903.816,-14.4278349663016
6911.316,-14.1263350605203
6918.816,-13.8248150547453
6926.316,-13.523315148964
6933.816,-13.221795143189
6941.316,-12.920275137414
6948.816,-12.6187752316327
6956.316,-12.3172552258577
6963.816,-12.0157553200765
6971.316,-11.7142755142889
6978.816,-11.4255190045253
6986.316,-11.1593749876953
6993.816,-10.9158434637989
7001.316,-10.6949244328361
7008.816,-10.4966178948069
7016.316,-10.3209238497113
7023.816,-10.1678422975493
7031.316,-10.0373732383209
7038.816,-9.92951667202604
7046.316,-9.84427259866481
7053.816,-9.78164101823718
7061.316,-9.74162193074315
7068.816,-9.72363243636486
7076.316,-9.71233623989493
7083.816,-9.70106014341871
7091.316,-9.68978404694249
7098.816,-9.67848785047255
7106.316,-9.66721175399633
7113.816,-9.65591555752639
7121.316,-9.64463946105017
7128.816,-9.63334326458023
7136.316,-9.62206716810401
7143.816,-9.61077097163407
7151.316,-9.59949487515785
7158.816,-9.58821877868163
7158.9825,-9.58795747876329
7268.8733,-8.32284377411132
7270.3733,-8.30376888007223
7271.8733,-8.28288498659844
7273.3733,-8.26019209368997
7274.8733,-8.23569020134681
7276.3733,-8.20937930956897
7277.8733,-8.18123931836271
7279.3733,-8.15131042771549
7280.8733,-8.11957253763358
7282.3733,-8.08602564811699
7283.8733,-8.0506697591657
7285.3733,-8.01350487077973
7286.8733,-7.97453098295907
7288.3733,-7.93372799571
7289.8733,-7.89113610901997
7291.3733,-7.84673522289524
7292.8733,-7.80052533733583
7294.3733,-7.75250645234173
7295.8733,-7.70267856791295
7297.3733,-7.65104168404947
7298.8733,-7.59759580075131
7300.3733,-7.54232081802475
7301.8733,-7.48525693585721
7303.3733,-7.42638405425498
7304.8733,-7.3661644730736
7306.3733,-7.30586449191735
7307.8733,-7.24556451076109
