lon,lat,PGA-0.0004
22.96269,40.62119,9.943082E-01
22.96274,40.62091,9.964988E-01
22.96280,40.62064,9.996064E-01
22.96285,40.62036,1.003643E+00
22.96290,40.62008,1.008551E+00
22.96296,40.61980,1.014097E+00
22.96301,40.61952,1.019812E+00
22.96306,40.61925,1.025154E+00
22.96311,40.61897,1.029482E+00
22.96311,40.61869,1.032042E+00
22.96306,40.61841,1.032412E+00
22.96297,40.61815,1.030770E+00
22.96285,40.61791,1.027731E+00
22.96272,40.61768,1.023906E+00
22.96257,40.61748,1.019951E+00
22.96240,40.61731,1.016259E+00
22.96221,40.61716,1.012997E+00
22.96202,40.61702,1.010197E+00
22.96183,40.61689,1.007972E+00
22.96164,40.61675,1.006376E+00
22.96145,40.61661,1.005487E+00
22.96126,40.61648,1.005341E+00
22.96107,40.61634,1.005878E+00
22.96088,40.61621,1.007065E+00
22.96069,40.61607,1.008751E+00
22.96050,40.61593,1.010793E+00
22.96031,40.61580,1.013012E+00
22.96012,40.61566,1.015140E+00
22.95992,40.61553,1.016956E+00
22.95973,40.61539,1.018235E+00
22.95954,40.61525,1.018784E+00
22.95935,40.61512,1.018493E+00
22.95916,40.61498,1.017265E+00
22.95897,40.61485,1.015171E+00
22.95878,40.61471,1.012270E+00
22.95859,40.61457,1.008747E+00
22.95840,40.61444,1.004822E+00
22.95821,40.61430,1.000651E+00
22.95802,40.61416,9.964324E-01
22.95783,40.61403,9.923334E-01
22.95764,40.61389,9.881846E-01
22.95745,40.61374,9.840943E-01
22.95733,40.61351,9.774134E-01
22.95724,40.61326,9.697148E-01
22.95721,40.61297,9.618755E-01
22.95723,40.61269,9.552885E-01
22.95725,40.61240,9.504787E-01
22.95727,40.61212,9.476548E-01
22.95729,40.61183,9.467301E-01
22.95731,40.61155,9.475409E-01
22.95734,40.61126,9.496905E-01
22.95736,40.61098,9.527211E-01
22.95738,40.61069,9.561083E-01
22.95740,40.61041,9.594738E-01
22.95742,40.61012,9.624340E-01
22.95745,40.60984,9.648788E-01
22.95747,40.60955,9.666418E-01
22.95749,40.60927,9.678508E-01
22.95751,40.60898,9.685797E-01
22.95753,40.60870,9.691080E-01
22.95756,40.60841,9.696773E-01
22.95758,40.60813,9.706463E-01
22.95760,40.60784,9.723061E-01
22.95762,40.60756,9.749924E-01
22.95764,40.60727,9.787431E-01
22.95767,40.60699,9.835171E-01
