#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='quantile-0.5', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.95740,40.61369,0.00000,9.244987E-01,8.874125E-01,8.332970E-01,7.677256E-01,6.905797E-01,6.030063E-01,5.083122E-01,4.112921E-01,3.171229E-01,2.283192E-01,1.578807E-01,1.056700E-01,6.712958E-02,4.191693E-02,2.549083E-02,1.500548E-02,8.579656E-03,4.441279E-03,2.072903E-03,8.817375E-04,3.333037E-04,1.129849E-04,3.235335E-05,6.888682E-06,6.831308E-07
22.95729,40.61348,0.00000,9.245085E-01,8.874289E-01,8.333119E-01,7.677389E-01,6.905914E-01,6.030156E-01,5.083175E-01,4.112926E-01,3.171436E-01,2.283119E-01,1.578717E-01,1.056770E-01,6.713400E-02,4.191234E-02,2.548737E-02,1.500254E-02,8.576679E-03,4.441590E-03,2.073038E-03,8.817866E-04,3.333141E-04,1.125764E-04,3.221186E-05,6.854044E-06,6.751660E-07
22.95723,40.61327,0.00000,9.245186E-01,8.874453E-01,8.333275E-01,7.677531E-01,6.906050E-01,6.030275E-01,5.083251E-01,4.112967E-01,3.171654E-01,2.283073E-01,1.578658E-01,1.056847E-01,6.713915E-02,4.190880E-02,2.548470E-02,1.500002E-02,8.574084E-03,4.441976E-03,2.073219E-03,8.818597E-04,3.333383E-04,1.122265E-04,3.209045E-05,6.824479E-06,6.683109E-07
22.95720,40.61304,0.00000,9.245293E-01,8.874624E-01,8.333448E-01,7.677698E-01,6.906209E-01,6.030414E-01,5.083352E-01,4.113029E-01,3.171890E-01,2.283049E-01,1.578613E-01,1.056941E-01,6.714522E-02,4.190576E-02,2.548223E-02,1.499758E-02,8.571490E-03,4.442455E-03,2.073451E-03,8.819574E-04,3.333746E-04,1.118819E-04,3.197169E-05,6.795497E-06,6.615437E-07
22.95728,40.61198,0.00000,9.245800E-01,8.875405E-01,8.334285E-01,7.678515E-01,6.907035E-01,6.031169E-01,5.083976E-01,4.113486E-01,3.173026E-01,2.283100E-01,1.578544E-01,1.057413E-01,6.717754E-02,4.189612E-02,2.547324E-02,1.498795E-02,8.560738E-03,4.444997E-03,2.074737E-03,8.825363E-04,3.336148E-04,1.104855E-04,3.148896E-05,6.677875E-06,6.338036E-07
22.95768,40.60673,0.00000,9.252263E-01,8.883324E-01,8.345283E-01,7.689430E-01,6.918497E-01,6.042510E-01,5.094599E-01,4.122802E-01,3.185327E-01,2.288202E-01,1.582222E-01,1.061949E-01,6.741875E-02,4.197961E-02,2.551088E-02,1.498465E-02,8.525020E-03,4.479954E-03,2.093041E-03,8.913729E-04,3.375461E-04,1.097494E-04,2.948591E-05,6.062395E-06,6.035721E-07
22.95780,40.60620,0.00000,9.252514E-01,8.883709E-01,8.345706E-01,7.689860E-01,6.918932E-01,6.042922E-01,5.094954E-01,4.123077E-01,3.185909E-01,2.288275E-01,1.582588E-01,1.061908E-01,6.743627E-02,4.197623E-02,2.550660E-02,1.497872E-02,8.517525E-03,4.481589E-03,2.093942E-03,8.918322E-04,3.377710E-04,1.098492E-04,2.952613E-05,5.993080E-06,6.087561E-07
22.95790,40.60583,0.00000,9.252688E-01,8.883977E-01,8.346007E-01,7.690155E-01,6.919242E-01,6.043219E-01,5.095213E-01,4.123287E-01,3.186321E-01,2.288334E-01,1.582847E-01,1.061889E-01,6.744881E-02,4.197421E-02,2.550375E-02,1.497462E-02,8.512304E-03,4.482767E-03,2.094598E-03,8.921670E-04,3.379366E-04,1.099228E-04,2.955574E-05,5.948517E-06,6.125467E-07
22.95811,40.60509,0.00000,9.253024E-01,8.884505E-01,8.346533E-01,7.690604E-01,6.919689E-01,6.043642E-01,5.095600E-01,4.123611E-01,3.187144E-01,2.288452E-01,1.583366E-01,1.061855E-01,6.747416E-02,4.197017E-02,2.549818E-02,1.496635E-02,8.501628E-03,4.485168E-03,2.095948E-03,8.928568E-04,3.382800E-04,1.100785E-04,2.961717E-05,5.968081E-06,6.203088E-07
22.95878,40.60274,0.00000,9.340808E-01,9.022598E-01,8.531707E-01,7.927164E-01,7.200108E-01,6.358833E-01,5.432082E-01,4.462194E-01,3.505888E-01,2.578830E-01,1.813058E-01,1.228441E-01,8.041403E-02,4.998506E-02,3.041698E-02,1.805708E-02,1.035822E-02,5.738007E-03,2.766340E-03,1.220254E-03,4.838685E-04,1.669698E-04,4.842466E-05,1.098469E-05,1.658111E-06
