#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.95729,40.61348,0.00000,9.312884E-01,8.965781E-01,8.476139E-01,7.832586E-01,7.042500E-01,6.133546E-01,5.152243E-01,4.159101E-01,3.218860E-01,2.386572E-01,1.696212E-01,1.157173E-01,7.588070E-02,4.787898E-02,2.908923E-02,1.702386E-02,9.594724E-03,5.200165E-03,2.699398E-03,1.332024E-03,6.177147E-04,2.651684E-04,1.032646E-04,3.545922E-05,1.050429E-05
22.95723,40.61327,0.00000,9.312973E-01,8.965905E-01,8.476297E-01,7.832771E-01,7.042698E-01,6.133741E-01,5.152416E-01,4.159244E-01,3.218965E-01,2.386641E-01,1.696251E-01,1.157191E-01,7.588122E-02,4.787871E-02,2.908843E-02,1.702263E-02,9.593223E-03,5.198599E-03,2.697984E-03,1.330915E-03,6.169605E-04,2.647175E-04,1.030336E-04,3.535830E-05,1.046658E-05
22.95720,40.61304,0.00000,9.313070E-01,8.966041E-01,8.476472E-01,7.832977E-01,7.042919E-01,6.133960E-01,5.152614E-01,4.159411E-01,3.219093E-01,2.386730E-01,1.696307E-01,1.157224E-01,7.588278E-02,4.787910E-02,2.908805E-02,1.702164E-02,9.591861E-03,5.197109E-03,2.696612E-03,1.329830E-03,6.162207E-04,2.642750E-04,1.028070E-04,3.525923E-05,1.042972E-05
22.95728,40.61198,0.00000,9.313517E-01,8.966671E-01,8.477288E-01,7.833943E-01,7.043970E-01,6.135017E-01,5.153600E-01,4.160263E-01,3.219776E-01,2.387237E-01,1.696653E-01,1.157442E-01,7.589531E-02,4.788501E-02,2.908912E-02,1.701918E-02,9.587127E-03,5.191425E-03,2.691195E-03,1.325486E-03,6.132373E-04,2.624867E-04,1.018913E-04,3.485826E-05,1.028142E-05
22.95768,40.60673,0.00000,9.318603E-01,8.973835E-01,8.486552E-01,7.844968E-01,7.056145E-01,6.147605E-01,5.165828E-01,4.171420E-01,3.229319E-01,2.394889E-01,1.702428E-01,1.161577E-01,7.617616E-02,4.806363E-02,2.919090E-02,1.706475E-02,9.594924E-03,5.177881E-03,2.669744E-03,1.305087E-03,5.979945E-04,2.529725E-04,9.688056E-05,3.263810E-05,9.456617E-06
22.95780,40.60620,0.00000,9.318824E-01,8.974147E-01,8.486959E-01,7.845456E-01,7.056679E-01,6.148148E-01,5.166342E-01,4.171873E-01,3.229690E-01,2.395174E-01,1.702630E-01,1.161712E-01,7.618449E-02,4.806803E-02,2.919219E-02,1.706360E-02,9.592100E-03,5.174302E-03,2.666251E-03,1.302276E-03,5.960466E-04,2.518122E-04,9.628434E-05,3.237804E-05,9.361949E-06
22.95790,40.60583,0.00000,9.318978E-01,8.974366E-01,8.487245E-01,7.845796E-01,7.057053E-01,6.148530E-01,5.166706E-01,4.172196E-01,3.229958E-01,2.395379E-01,1.702778E-01,1.161810E-01,7.619070E-02,4.807140E-02,2.919330E-02,1.706292E-02,9.590212E-03,5.171848E-03,2.663843E-03,1.300331E-03,5.946978E-04,2.510088E-04,9.587132E-05,3.219826E-05,9.296638E-06
22.95811,40.60509,0.00000,9.319266E-01,8.974777E-01,8.487780E-01,7.846435E-01,7.057757E-01,6.149251E-01,5.167400E-01,4.172820E-01,3.230481E-01,2.395788E-01,1.703074E-01,1.162012E-01,7.620337E-02,4.807828E-02,2.919562E-02,1.706159E-02,9.586398E-03,5.166881E-03,2.658955E-03,1.296385E-03,5.919606E-04,2.493795E-04,9.503383E-05,3.183414E-05,9.164410E-06
22.95878,40.60274,0.00000,9.404178E-01,9.102251E-01,8.666092E-01,8.078741E-01,7.340425E-01,6.471186E-01,5.510604E-01,4.514754E-01,3.548380E-01,2.671757E-01,1.927582E-01,1.334100E-01,8.870609E-02,5.672684E-02,3.490822E-02,2.067097E-02,1.176820E-02,6.428389E-03,3.356302E-03,1.663300E-03,7.745189E-04,3.343213E-04,1.312960E-04,4.572317E-05,1.383717E-05
22.95880,40.60252,0.00000,9.404257E-01,9.102365E-01,8.666244E-01,8.078928E-01,7.340631E-01,6.471401E-01,5.510811E-01,4.514940E-01,3.548532E-01,2.671873E-01,1.927664E-01,1.334154E-01,8.870939E-02,5.672850E-02,3.490864E-02,2.067035E-02,1.176677E-02,6.426537E-03,3.354435E-03,1.661730E-03,7.733916E-04,3.336219E-04,1.309222E-04,4.555453E-05,1.377176E-05
